FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20
80,0,0.074563012,9.844151082,23.49154092,30.91467494,35.78890534,41.94393677,55.89798345,57.37584876,63.15792667,83.5700789,89.72828088,94.95197677,97.95370237,99.75309238,95.2425441,89.53718908,44.68465173,1.459533608,0.162170401
81,0,0.0695016,9.170056857,23.72382259,30,35.86997507,42.34940269,55.39687932,57.29816302,63.13851343,83.36965511,89.79106424,94.09416101,97.44929835,99.56548577,97.41015312,94.24640248,49.50830666,1.509525987,0.265813138
82,0.000611172,0.075785356,10.11428921,24.02090209,29.46807736,34.63624451,40.90758169,54.09983256,56.53740688,62.62952268,85.08248508,89.23506933,92.94411678,96.90526088,98.95139723,92.29840569,85.42672717,38.09280545,0.732226479,0.184574013
83,0.000609663,0.149737196,10.56023919,25.44612102,30.88548318,36.6392994,41.21591363,54.14654566,54.97342813,60.68152588,81.69020036,88.78713424,93.16566958,96.82273645,99.24353373,94.80882584,90.96150338,41.26870904,0.752934004,0.24874257
84,0,0.162780064,10.24446889,24.57491236,30.8362221,37.46815016,42.45772866,55.67047119,57.79077386,64.33352295,84.15536002,90.04006245,94.77465433,96.99679626,98.50044371,90.25334272,80.41750588,28.82426459,0.433470508,0.205456485
85,0,0.141180785,10.30842564,26.30301919,31.61770966,36.8795232,42.60902192,56.20980854,56.97784465,62.76298867,81.80912653,87.27610791,91.66188748,93.20213379,95.71113881,77.236162,61.00730423,9.786313062,0.307879896,0.128638927
86,0,0.167047706,8.959293207,25.45587563,32.21444345,38.03295397,42.80557082,56.19342862,57.83991361,64.28935427,83.60223188,90.20821134,92.15626054,91.89128969,93.62567839,61.55819949,46.9348659,6.689224204,0.129538405,0.112178022
87,0,0.117345068,10.83913947,25.64609053,31.89259867,36.84911512,42.96970504,55.79849062,57.25084326,63.30352593,80.07413265,87.17408496,90.23718827,89.48186154,91.18686532,64.56174622,53.5326021,8.007925621,0.232891328,0.087791495
88,0,0.227356069,12.59680423,26.61057766,33.22508058,37.45541023,43.6904661,55.44905239,57.14225048,62.62345604,78.6904841,87.20245821,90.56824204,91.41856498,92.76965149,61.73166056,47.29913368,6.407589856,0.128029264,0.069062462
89,0,0.15424478,11.5095954,25.73157316,31.92809823,35.61089825,42.79349709,55.35259288,56.81950545,61.44019075,76.36496774,87.32767698,87.76448998,87.4259286,89.43488943,54.63502015,42.08356139,6.292333486,0.415180613,0.086572169
