FID,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,150eg20
63,-0.010925028,-0.017139586,-0.005038589,0.020712677,0.035643402,0.05096516,0.074408211,0.094423443,0.127228171,0.167395234,0.258288741,0.278973848,0.299993813,0.311592609,0.320121914,0.253112853,0.235181734,0.121623367,-0.006134446,-0.033145059,-0.007339306
64,-0.011840007,-0.016017264,-0.006223292,0.026159326,0.039133038,0.055733934,0.079354145,0.098874778,0.126913249,0.154458135,0.241534635,0.269862562,0.282036304,0.290768325,0.296696037,0.215084583,0.189937159,0.081077904,-0.020020053,-0.037103768,-0.010534509
65,-0.012142217,-0.01223997,0.000455483,0.029352671,0.038647514,0.067613833,0.077962629,0.095874488,0.119777955,0.144626975,0.230979994,0.253445625,0.264383912,0.275051743,0.283135951,0.214453146,0.178649887,0.066501521,-0.021313442,-0.035786696,-0.006596549
66,-0.013412072,-0.013236544,0.005724996,0.037915673,0.044304829,0.068395004,0.084339842,0.100816287,0.123744369,0.147831082,0.234976813,0.264938205,0.276808769,0.287491113,0.296771675,0.235404924,0.207966477,0.111059159,-0.017224362,-0.030998243,-0.002297589
67,-0.015273282,-0.014438912,0.004369389,0.039726555,0.049589969,0.07511548,0.089850202,0.100496009,0.126013368,0.149320424,0.244385883,0.26238969,0.272778273,0.278530419,0.288504153,0.219695583,0.182942301,0.081318028,-0.016919145,-0.033908594,-0.002085464
68,-0.017310895,-0.011583012,0.002937581,0.038816631,0.050320465,0.071290083,0.090741917,0.102996707,0.131533697,0.15523161,0.246844262,0.267686993,0.283758432,0.282644928,0.300543398,0.225527614,0.199349985,0.096300997,-0.017243167,-0.035624873,-0.003125488
69,-0.015673023,-0.010258264,0.005934807,0.038869407,0.055292528,0.077761188,0.096268445,0.103749536,0.133724615,0.164050967,0.255188018,0.268159777,0.292064846,0.286096066,0.299545884,0.22798492,0.205708683,0.108300298,-0.013955039,-0.03365247,-0.007956296
70,-0.016310489,-0.012257489,0.006601905,0.037461773,0.054339055,0.073434293,0.09145762,0.098510034,0.123574167,0.156588823,0.23456347,0.266789973,0.28604871,0.276824296,0.291009903,0.221019536,0.191885144,0.096793704,-0.016466724,-0.030724045,-0.009191398
71,-0.015764268,-0.014784761,0.005607119,0.03733848,0.053510249,0.067173444,0.087620743,0.098850384,0.125551045,0.151243627,0.232723907,0.259773254,0.282107145,0.269901037,0.282196999,0.214798838,0.174306989,0.077164926,-0.025752775,-0.028542126,-0.00528453
72,-0.01982628,-0.012986504,0.004976127,0.039759643,0.048260126,0.069704622,0.08545965,0.102272071,0.122326501,0.158817247,0.227601886,0.270315468,0.282094449,0.268898457,0.289140999,0.216202214,0.171310112,0.07576023,-0.023021597,-0.030197497,-0.007753626
