FID,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,150ch20
3278,0,0.021436787,0.082835627,0.106382084,0.20474844,0.175578785,0.316399193,0.417764044,0.528231144,0.713643694,0.765651798,0.853641701,0.859029722,0.960521126,0.765081549,0.850753307,0.862650394,0.699198389,0.494941902,0.762856293,0.039894485
3279,0,0.019295788,0.085059166,0.106600857,0.221324301,0.200538254,0.342491913,0.447203779,0.558251524,0.728765965,0.776232815,0.855868435,0.853523397,0.963602829,0.755040503,0.848711443,0.87586484,0.717975235,0.516371822,0.764005041,0.040337944
3280,0,0.020239067,0.084532785,0.111589432,0.21911788,0.206386471,0.342328072,0.448615789,0.536007547,0.717595577,0.759204483,0.841218042,0.841416264,0.939729834,0.730671978,0.805940676,0.825081968,0.642937899,0.487578535,0.730152798,0.041999054
3281,0,0.019410515,0.085809755,0.112691879,0.224565554,0.211102533,0.345363617,0.441417551,0.539159012,0.711660767,0.767495918,0.845245552,0.85080204,0.944241714,0.746774864,0.83087368,0.861864185,0.700649452,0.499453259,0.738519478,0.043848467
3282,0,0.019697666,0.088199806,0.113802576,0.224543858,0.211707258,0.353315926,0.443074083,0.551029062,0.729809809,0.77834301,0.859121466,0.863374758,0.941237783,0.760911703,0.836992407,0.859281063,0.677991199,0.505907583,0.726378536,0.044267797
3283,0,0.018511915,0.087076187,0.11272068,0.221223021,0.212848806,0.343880653,0.436682749,0.541609621,0.717660141,0.767986393,0.838274908,0.85051651,0.915684605,0.728255796,0.812900734,0.830770397,0.639394331,0.489914417,0.703348112,0.042781544
3284,0,0.017808199,0.086548519,0.112492275,0.216520452,0.186306238,0.34431963,0.428654957,0.525739384,0.706044626,0.757222223,0.833636999,0.840994263,0.90831604,0.722851801,0.792769432,0.820953226,0.623820925,0.483879042,0.684199476,0.039335346
3285,0,0.019256687,0.083945513,0.110476685,0.214591122,0.195036173,0.33825016,0.413068199,0.507067204,0.688858557,0.741110277,0.81461525,0.818863583,0.880846024,0.707100916,0.776497269,0.795074511,0.589446831,0.468055058,0.653412724,0.03941021
3286,0,0.017683411,0.087750626,0.111895132,0.221166849,0.202113819,0.347198105,0.432592678,0.522665977,0.695546532,0.736957932,0.801950455,0.813511705,0.868915892,0.683660603,0.744859838,0.762437153,0.545243645,0.478733444,0.622427654,0.046746492
3287,0,0.018540478,0.083312988,0.111432076,0.214938354,0.192924261,0.339436817,0.423328495,0.518957663,0.693688488,0.746265793,0.826299095,0.843387461,0.895901394,0.717822123,0.783578682,0.78823266,0.582131577,0.484763956,0.629990864,0.053598118
