FID,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21
2954,-0.000908014,0.01175532,0.027477425,0.085950039,0.12910901,0.212272555,0.238090828,0.30912286,0.323793918,0.297991306,0.282774478,0.281789511,0.250127047,0.24040255,0.244387105,0.22286801,0.001141997
2955,-0.000437701,0.008073171,0.025916286,0.077832282,0.116280459,0.202029005,0.229100063,0.300758153,0.317520261,0.297581732,0.273529887,0.284045964,0.258264273,0.24209398,0.241967827,0.214134365,-0.000554115
2956,0.002195569,0.009774548,0.02821539,0.080719061,0.122566707,0.200154558,0.2300753,0.304986358,0.319168448,0.291641593,0.285382688,0.283219993,0.254871368,0.241149619,0.245518431,0.210511968,0.001092932
2957,-0.002948836,0.011727924,0.030317623,0.083850689,0.126825243,0.206857607,0.232353911,0.302007139,0.321751535,0.273343027,0.276764512,0.273875266,0.254146159,0.240900457,0.2321565,0.202182457,-0.001578344
2958,-0.000751741,0.011160006,0.031108154,0.083905093,0.12698327,0.21063605,0.238866016,0.310335547,0.327722758,0.290384382,0.275097638,0.28083691,0.259699553,0.248320132,0.24548094,0.214129001,-0.000310954
2959,-0.000923533,0.013176301,0.033323094,0.080169126,0.127493754,0.205808237,0.237074271,0.304936022,0.326012254,0.292299509,0.27526471,0.283124626,0.25501284,0.243935049,0.239210159,0.212360978,0.000761392
2960,-0.001570971,0.015110633,0.029520212,0.077818044,0.126864254,0.198384017,0.227319166,0.298103422,0.320978701,0.29334873,0.278799951,0.283195734,0.262302458,0.24771215,0.240538418,0.208237991,0.003301606
2961,0.002060118,0.012101595,0.027181525,0.075928792,0.122138642,0.189230323,0.223379403,0.291844159,0.303209245,0.289194524,0.277730376,0.284400821,0.26218617,0.23580046,0.225448146,0.179701298,-0.003670854
2962,0.005540513,0.014252451,0.029457426,0.081198417,0.12482474,0.198167622,0.249077976,0.304273814,0.315912068,0.302107871,0.284731269,0.286770135,0.258031398,0.230789766,0.212759733,0.159165129,-0.010271719
2963,0.005602633,0.01256906,0.031416476,0.075722083,0.122997418,0.201726004,0.245860189,0.30237323,0.316785604,0.303849667,0.282736778,0.290834218,0.266325533,0.244338721,0.244378507,0.20168449,-0.002676732
2964,-0.003062356,0.012156319,0.029715007,0.07358367,0.121264055,0.198460877,0.241221905,0.295686156,0.31189099,0.290761203,0.277676314,0.282394469,0.264397115,0.242880866,0.239271671,0.203591511,0.000946054
2965,-0.009025916,0.013094362,0.02912982,0.078865387,0.133983165,0.209780931,0.244868755,0.312054366,0.317257583,0.284958124,0.282540143,0.277527303,0.266677618,0.246041283,0.235025555,0.198241711,-0.002210065
2966,-0.014277762,0.015458196,0.034248382,0.081822418,0.135928571,0.215272307,0.24536857,0.31456238,0.313800782,0.293132305,0.292209595,0.273082405,0.278077126,0.255065858,0.249951899,0.210572436,-0.005560636
2967,-0.012133483,0.013222918,0.029583817,0.078428917,0.128687337,0.208905265,0.225301564,0.297479093,0.290511549,0.282322675,0.281239063,0.271633774,0.280676216,0.25946331,0.245399341,0.202773854,-0.007101757
2968,-0.012348186,0.012911299,0.02868682,0.083187096,0.124541901,0.196658686,0.221193269,0.294779867,0.28610447,0.280820042,0.270772636,0.275706351,0.278896034,0.260153979,0.244562298,0.20382601,-0.007082783
2969,-0.008005413,0.011578628,0.028722892,0.073295906,0.128696382,0.203302309,0.230108395,0.303993672,0.300740212,0.301553577,0.283364773,0.280622005,0.284550518,0.264057398,0.247117609,0.215668961,-0.002798094
2970,-0.013869395,0.013611395,0.033754677,0.080389306,0.133494258,0.211062297,0.24582769,0.308628917,0.31609118,0.30690226,0.286577225,0.286403924,0.286182195,0.260955662,0.249536529,0.213769391,-0.004419651
2971,-0.015577585,0.015004631,0.030508308,0.082912236,0.133565664,0.206509545,0.241229072,0.312095046,0.31922707,0.309022874,0.28395918,0.288636059,0.276054323,0.257938862,0.251360625,0.206000477,-0.004650674
2972,-0.009229536,0.011601875,0.028341552,0.080241159,0.139697433,0.205472961,0.245867267,0.323761195,0.324054152,0.298739493,0.28381893,0.277986795,0.26918754,0.255669832,0.250419945,0.200468749,-0.007985724
2973,-0.015218389,0.012382833,0.027947821,0.068292245,0.132772475,0.199308217,0.239441305,0.316886693,0.318766952,0.295928746,0.285093606,0.274609506,0.269038767,0.258840203,0.248941347,0.205178067,-0.005910298
2974,-0.016894005,0.011873025,0.029058114,0.0680869,0.130529508,0.19649829,0.227307096,0.309065521,0.307887346,0.289228171,0.289319038,0.280754685,0.269377947,0.258981496,0.250593662,0.205773965,-0.003089936
2975,-0.013279854,0.009311946,0.027912052,0.070598111,0.126747563,0.18840304,0.222643837,0.294813335,0.297176808,0.2716223,0.285012305,0.277038485,0.26523599,0.242805392,0.215025738,0.153616294,-0.009939782
2976,-0.010357115,0.012250607,0.029050266,0.072470069,0.127448484,0.198081851,0.226349011,0.300172508,0.302740455,0.279150426,0.277473897,0.279910207,0.270116508,0.249122456,0.230701193,0.17496036,-0.004930628
