,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
165,0.295795993,20.65094638,70.68852459,88.09966252,96.52270494,98.46455159,87.49690943,2.085048011,0.158121997,0.34141137,-0.008057912,0.031458821,0.172438636,0.254039586,0.225825801,0.261272669,0.200120881,0.017750649,-0.023851307,-0.02518745,0
166,0.42493263,20.23580431,72.26874496,92.00471445,96.6848816,99.1080673,97.21742882,1.215668343,0.120713306,0.175758682,-0.007628484,0.028069817,0.168990478,0.273682237,0.228287682,0.271007568,0.23740603,0.015701525,-0.028444238,-0.043584369,0
167,0.374400716,23.26801628,73.39424886,93.62584378,98.03494383,99.40486496,97.17752373,1.208898668,0.116158852,0.033531474,-0.006622896,0.036493506,0.169883639,0.265412509,0.236054346,0.27302137,0.234248012,0.01600647,-0.032552846,-0.06333892,0
168,0.235369794,25.19266387,74.73689868,92.75902711,98.76970396,99.76843837,94.79184642,0.942539247,0.172534675,0.083523853,-0.006062136,0.036336359,0.166217089,0.256180048,0.212055996,0.250125438,0.213799775,0.008554399,-0.029493205,-0.057151727,0
182,0.372455777,20.14848348,67.22063961,88.83638701,93.21332905,97.0470233,88.04141501,0.824874257,0.157125871,0.205456485,-0.008398687,0.030333778,0.155540511,0.254433513,0.211373731,0.264010876,0.211373389,0.013201786,-0.02117333,-0.037671585,0
183,0.329667124,17.07062019,67.12819135,90.56382693,95.67105617,98.66917495,95.55812846,1.211400701,0.121632306,0.128930244,-0.007035904,0.023730492,0.153745934,0.27153331,0.228281349,0.28208825,0.234322563,0.01619417,-0.026311122,-0.051038589,0
184,0.314871238,26.47377693,73.8081161,92.43859178,98.70995393,99.43377912,96.95940097,0.461435032,0.149845907,0.182289285,-0.00437049,0.040743489,0.167858675,0.255219191,0.225895226,0.271513015,0.230520323,0.011748523,-0.028420983,-0.055814281,0
185,0.309731501,26.01539158,75.11959151,92.07847353,98.64888032,99.58908542,95.13612361,0.504801097,0.279754303,0.26032617,-0.003682738,0.039005268,0.16905123,0.249450311,0.214711085,0.245520115,0.217673495,0.003271994,-0.027161609,-0.049791664,0
197,0.611306255,32.34087823,75.22816447,92.85974499,97.56348441,98.97231927,91.66053497,0.067062948,0.186245723,0.265813138,-0.007271146,0.057846542,0.160307914,0.229819581,0.245549589,0.263112217,0.216756269,0.000627092,-0.033560626,-0.037037089,0
198,0.141806646,23.2547319,61.87906477,88.85998388,93.31987697,96.45624134,92.79020949,2.13686938,0.082709968,0.098155769,-0.013537008,0.036321703,0.146905631,0.23898536,0.212754607,0.261667252,0.225696281,0.018524539,-0.028133582,-0.043600056,0
200,0.380100288,20.2870077,62.35420586,88.0970749,94.22123969,97.85426766,91.55629853,1.219326322,0.09281953,0.303612254,-0.007355292,0.030385785,0.143740073,0.25486809,0.222202554,0.282999396,0.22192657,0.016461132,-0.022295468,-0.039072096,0
201,0.270943282,22.20823902,69.45014781,90.84547165,97.4927676,99.27308024,94.13088643,0.818777625,0.065073283,0.212856535,-0.00653138,0.036561653,0.158187851,0.257566929,0.236990601,0.278582007,0.221472234,0.011125078,-0.028732795,-0.048684016,0
202,0.153163929,25.43750282,73.04810535,93.35554958,99.12213251,99.83119806,97.96247403,0.385649676,0.140745954,0.263374486,-0.006779166,0.035098076,0.166436777,0.251546144,0.232040346,0.271165729,0.224078819,0.012301405,-0.026892563,-0.052381173,0
213,0.938555327,26.82842915,75.7549046,95.57538296,96.35503439,95.36660319,83.45632791,0.008556411,0.113446092,0.153635117,-0.007279801,0.049981121,0.167052925,0.257137239,0.274362504,0.273619145,0.204877794,-0.015762495,-0.052778263,-0.060521137,0
214,0.858149496,32.9466504,71.30341306,90.39935501,93.93929685,95.53540512,86.38439231,0.012193263,0.079060999,0.187776254,-0.007922373,0.066045575,0.150196552,0.227420941,0.244886979,0.252836257,0.199660271,-0.00755814,-0.048748929,-0.051007722,0
215,0.514922543,30.05658669,71.42058586,91.66613093,96.03678073,97.81708369,90.56981475,0.149367474,0.183819069,0.196921201,-0.00867346,0.057607032,0.152154133,0.226878077,0.245675519,0.253463656,0.220253572,0.000298911,-0.038413152,-0.045092758,0
216,0.227085557,17.4472612,55.75705456,88.07309863,91.48190867,92.70580852,89.26376385,0.871531598,0.068114091,0.173326035,-0.011502382,0.026749965,0.131544113,0.236424237,0.220616534,0.237478003,0.205615923,0.013563119,-0.032006077,-0.040963441,0
219,0.207105926,20.73336351,64.77828541,84.46694525,93.34550814,97.32730263,91.73101812,1.538931671,0.180015812,0.355774494,-0.013153482,0.034991037,0.151322678,0.231710762,0.213944584,0.256409764,0.21529071,0.018037818,-0.019329794,-0.03310911,0
220,0.266070202,24.73607967,73.6210696,93.88658963,99.15568413,99.82959448,98.2286617,0.774966386,0.14083219,0.230532165,-0.006232429,0.038141578,0.173090741,0.263749957,0.252680898,0.2799761,0.241507873,0.017965671,-0.025893899,-0.047114141,0
221,0.189631531,25.22925419,75.20666488,94.88417092,99.43825025,99.76086392,98.67122576,0.612685031,0.19521985,0.243264611,-0.007274337,0.036140971,0.173940167,0.262378424,0.237950027,0.268744588,0.227244332,0.017170276,-0.025767252,-0.053126924,0
222,0.20856785,24.26527841,73.00080623,92.06879871,99.04203511,99.73814058,96.42594356,0.454100966,0.241426612,0.275497172,-0.003716153,0.033125039,0.164039001,0.247551993,0.222155437,0.251621157,0.212365091,0.01058427,-0.029312495,-0.052280013,0
223,0.166778501,24.62381168,71.96560064,92.86643375,98.90426759,99.33128463,95.18550475,0.325143625,0.197044335,0.27063188,-0.004690731,0.035121877,0.156948209,0.241658226,0.215809211,0.246553272,0.207172573,0.006715186,-0.026845157,-0.051566999,0
224,0.036060797,26.22951562,74.31335662,94.85910211,98.7622282,98.7058518,95.19671918,0.170517052,0.156297513,0.233534027,-0.008554456,0.043944459,0.161431104,0.246857107,0.218847662,0.243390679,0.205910981,0.00390075,-0.027181549,-0.048908338,0
225,0.032162332,28.90274202,77.28030099,95.93657619,98.93203469,98.72627265,94.13629675,0.060506051,0.115226337,0.166225824,-0.013455947,0.045774467,0.170497194,0.267136544,0.22898449,0.253901631,0.209875032,-0.003318026,-0.032537378,-0.052047446,0
228,0.440526488,34.53463105,76.32249395,97.39962376,98.3552984,99.72407375,96.58825312,0.317809559,0.138660828,0.349692878,-0.004956759,0.063557208,0.164532706,0.246737525,0.257591844,0.267099708,0.228456348,0.006263312,-0.035960075,-0.052767839,0
236,0.15948498,19.32466007,62.33485622,91.06046762,91.91016276,93.34314404,84.0271786,0.568206066,0.072192968,0.110349032,-0.010723405,0.028884551,0.146815225,0.250440359,0.201199651,0.223092437,0.179050595,0.010016559,-0.029224521,-0.043219607,0
239,0.236310062,23.5741067,68.65466273,88.80960034,96.01328549,98.30873442,93.79414136,1.130925164,0.222645539,0.194482548,-0.009810927,0.044003461,0.163033083,0.238057971,0.229673982,0.262573689,0.230342403,0.019560587,-0.019322276,-0.04481994,0
